,ref_point_lat,ref_point_lon,objectid,fac_type,loc_id,region_code,state_name,county,fac_name,lat,lon,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
61,46-02-48.9810N,118-25-01.8400W,18473,AIRPORT,S95,ANM,WASHINGTON,WALLA WALLA,MARTIN FIELD,46.05,-118.417,188.42199999999994,197.57299999999998,177.121,172.412,316.7700000000001,160.266,154.382,152.66100000000003,147.27000000000004,181.00500000000002,202.49000000000004,181.71700000000004
62,48-32-39.0095N,117-53-00.6920W,18474,AIRPORT,63S,ANM,WASHINGTON,STEVENS,COLVILLE MUNI,48.54,-117.884,88.91399999999999,94.788,92.94200000000001,97.56899999999996,186.48900000000003,83.08800000000002,87.803,90.84899999999999,82.994,92.35799999999998,88.65200000000002,77.166
63,48-31-30.0000N,117-51-12.0000W,18476,AIRPORT,WA73,ANM,WASHINGTON,STEVENS,SMITH,48.52,-117.853,88.91399999999999,94.788,92.94200000000001,97.56899999999996,186.48900000000003,83.08800000000002,87.803,90.84899999999999,82.994,92.35799999999998,88.65200000000002,77.166
64,48-38-40.8400N,117-56-17.5400W,18477,AIRPORT,WA72,ANM,WASHINGTON,ADAMS,ZEMA PRIVATE,48.64,-117.938,88.91399999999999,94.788,92.94200000000001,97.56899999999996,186.48900000000003,83.08800000000002,87.803,90.84899999999999,82.994,92.35799999999998,88.65200000000002,77.166
65,48-31-47.4180N,121-45-29.6960W,18478,AIRPORT,3W5,ANM,WASHINGTON,SKAGIT,MEARS FIELD,48.53,-121.758,104.29899999999999,98.36499999999998,88.03699999999998,74.72800000000001,151.133,70.81900000000002,64.364,63.525000000000006,70.675,87.349,110.819,108.44800000000001
66,46-39-40.6100N,118-49-50.2300W,18479,AIRPORT,WA14,ANM,WASHINGTON,FRANKLIN,CONNELL CITY,46.66,-118.831,164.71999999999997,192.469,166.46900000000002,180.235,334.24099999999993,156.648,148.48899999999998,145.90900000000005,141.65900000000002,167.59499999999997,175.88600000000005,156.91499999999996
67,48-19-30.3680N,122-18-56.5560W,18480,AIRPORT,27WA,ANM,WASHINGTON,SKAGIT,JC'S,48.33,-122.316,126.67399999999999,109.35900000000002,105.363,81.92400000000002,164.97200000000004,73.299,63.07299999999999,66.444,77.14199999999998,92.55600000000001,125.28400000000003,131.636
68,47-08-41.4950N,124-11-21.3050W,18481,AIRPORT,S16,ANM,WASHINGTON,GRAYS HARBOR,COPALIS STATE,47.14,-124.189,171.34999999999997,166.034,161.042,111.24300000000001,264.025,123.26600000000002,114.58000000000001,126.21800000000002,117.59000000000003,134.876,172.823,190.318
69,45-59-36.3980N,122-22-46.3510W,18483,AIRPORT,WN10,ANM,WASHINGTON,COWLITZ,MOUNT ST HELEN'S AERO RANCH,45.99,-122.38,127.00599999999997,134.58800000000002,110.827,108.939,220.48599999999993,105.59,96.34200000000003,102.12999999999998,108.22500000000001,112.07999999999998,126.933,151.481
70,47-36-59.5230N,119-14-34.0920W,18484,AIRPORT,WA15,ANM,WASHINGTON,GRANT,COULEE CITY,47.62,-119.243,153.66699999999994,166.573,147.069,164.452,309.05,141.11499999999995,140.17,140.81200000000004,124.20900000000002,147.611,148.597,135.06300000000002
71,48-11-25.3510N,122-38-34.5970W,18485,AIRPORT,WN40,ANM,WASHINGTON,ISLAND,COUPEVILLE AIRPARK,48.19,-122.643,140.79999999999998,134.00099999999998,121.12599999999999,90.28199999999998,196.096,90.64699999999999,81.64099999999999,87.80099999999999,84.06300000000002,111.59400000000001,141.33999999999997,146.12600000000003
